codigo_curso;nombre_curso;seccion;evaluacion;nombre_docente;tipo;aula;dia;inicio;fin;vacantes;;
BEF01;ETICA Y FILOSOFIA POLITICA;U;D;CAMPANA AÑASCO, RILDO  ;P;S4-205;SA;9;11;42;;
BEF01;ETICA Y FILOSOFIA POLITICA;U;D;CAMPANA AÑASCO, RILDO  ;T;S4-205;SA;8;9;42;;
BEF01;ETICA Y FILOSOFIA POLITICA;V;D;CAMPANA AÑASCO, RILDO  ;P;S4-205;SA;13;15;42;;
BEF01;ETICA Y FILOSOFIA POLITICA;V;D;CAMPANA AÑASCO, RILDO  ;T;S4-205;SA;12;13;42;;
BEF01;ETICA Y FILOSOFIA POLITICA;W;D;AYALA FALCON, ELOY ELADIO;P;S4-209;VI;17;19;42;;
BEF01;ETICA Y FILOSOFIA POLITICA;W;D;AYALA FALCON, ELOY ELADIO;T;S4-209;VI;16;17;42;;
BEF01;ETICA Y FILOSOFIA POLITICA;X;D;AYALA FALCON, ELOY ELADIO;P;S4-202;VI;9;11;42;;
BEF01;ETICA Y FILOSOFIA POLITICA;X;D;AYALA FALCON, ELOY ELADIO;T;S4-202;VI;8;9;42;;
BEF01;ETICA Y FILOSOFIA POLITICA;Y;D;SANCHEZ HUARINGA, CARLOS  ;P;S4-205;JU;9;11;42;;
BEF01;ETICA Y FILOSOFIA POLITICA;Y;D;SANCHEZ HUARINGA, CARLOS  ;T;S4-205;JU;8;9;42;;
BEG01;ECONOMIA GENERAL;U;F;QUINTEROS CHAVEZ, SILVIO;P;S7-105;MI;12;14;20;;
BEG01;ECONOMIA GENERAL;U;F;QUINTEROS CHAVEZ, SILVIO;T;S7-105;MI;10;12;20;;
BEG01;ECONOMIA GENERAL;V;F;MIRANDA TORRES, CESAR AURELIO;P;S7-107;JU;10;12;43;;
BEG01;ECONOMIA GENERAL;V;F;MIRANDA TORRES, CESAR AURELIO;T;S7-107;MA;10;12;43;;
BEG01;ECONOMIA GENERAL;W;F;MONDRAGÓN HERNÁNDEZ, MARGARITA DELICIA;P;S7-106;MI;12;14;43;;
BEG01;ECONOMIA GENERAL;W;F;MONDRAGÓN HERNÁNDEZ, MARGARITA DELICIA;T;S7-106;MA;12;14;43;;
BEG01;ECONOMIA GENERAL;X;F;MIRANDA TORRES, CESAR AURELIO;P;S7-107;JU;14;16;43;;
BEG01;ECONOMIA GENERAL;X;F;MIRANDA TORRES, CESAR AURELIO;T;S7-107;MA;14;16;43;;
BEG01;ECONOMIA GENERAL;Y;F;PALACIOS SAMANIEGO, LEONCIO GABRIEL;P;S7-104;VI;16;18;43;;
BEG01;ECONOMIA GENERAL;Y;F;PALACIOS SAMANIEGO, LEONCIO GABRIEL;T;S7-104;MA;10;12;43;;
BFI01;FISICA I;A;F;HUALLPA GUTIERREZ, WALTER ANTONIO;LAB;LAB-FISI;MA;18;20;33;;
BFI01;FISICA I;A;F;TAIPE TORRES PATRICIA ;P;S4-209;MA;18;20;33;;
BFI01;FISICA I;A;F;HUALLPA GUTIERREZ, WALTER ANTONIO;T;S4-202;MA;10;12;33;;
BFI01;FISICA I;A;F;HUALLPA GUTIERREZ, WALTER ANTONIO;T;S4-216;MI;8;10;33;;
BFI01;FISICA I;U;F;VALDIVIA MENDOZA, HECTOR GIOVANNY;LAB;LAB-FISI;MI;16;18;33;;
BFI01;FISICA I;U;F;SAN BARTOLOME MONTERO, JAIME  ;P;S4-209;MI;16;18;33;;
BFI01;FISICA I;U;F;ROMERO AQUINO, JUAN CARLOS;T;S4-210;MA;14;16;33;;
BFI01;FISICA I;U;F;ROMERO AQUINO, JUAN CARLOS;T;S4-110;MI;8;10;33;;
BFI01;FISICA I;V;F;MOSQUERA MOLINA, MIGUEL ANGEL;LAB;LAB-FISI;MI;12;14;33;;
BFI01;FISICA I;V;F;HUALLPA GUTIERREZ, WALTER ANTONIO;P;S4-214;MI;12;14;33;;
BFI01;FISICA I;V;F;CAÑOTE FAJARDO, PERCY VICTOR;T;S4-209;LU;14;16;33;;
BFI01;FISICA I;V;F;CAÑOTE FAJARDO, PERCY VICTOR;T;S4-211;MA;14;16;33;;
BFI01;FISICA I;W;F;TAIPE TORRES PATRICIA ;LAB;LAB-FISI;LU;10;12;33;;
BFI01;FISICA I;W;F;PEÑA YALICO, VICENTE;P;S4-203;LU;10;12;33;;
