from_course_id,to_course_id,relationship_type_id
BMA01,BMA02,1
FB101,BMA03,1
BQU01,FB202,1
BFI01,FB401,1
BMA03,FB301,1
BMA02,FB303,1
BMA02,FB305,1
BRC01,HU102,1
BIC01,SI205,1
TE205,TE302,1
FB202,TE401,1
HU102,BEF01,1
FB305,BEG01,1
FB303,FB403,1
FB305,FB405,1
FB301,SI150,1
SI205,SI150,1
TE401,TE301,1
FB401,TE301,1
FB401,TE501,1
BEF01,BRN01,1
GE101,GE502,1
BEG01,GE602,1
BEG01,GE604,1
SI150,SI501,1
FB405,SI501,1
TE301,TE503,1
TE501,TE601,1
GE502,GE603,1
GE602,GE606,1
SI501,SI601,1
TE503,TE602,1
FB405,TE603,1
TE302,TE604,1
TE601,TE604,1
GE604,GE701,1
GE606,GE701,1
GE606,GE702,1
BRN01,HU301,1
SI150,SI701,1
SI601,SI701,1
TE602,TE702,1
TE604,TE702,1
TE604,TE703,1
GE603,TE703,1
GE701,GE805,1
SI701,GE905,1
GE701,GE905,1
GE702,GE906,1
TE703,TE802,1
TE603,TE803,1
GE805,GE802,1
GE905,GE802,1
HU301,GE904,1
TE702,SI077,1
TE803,TE901,1
TE702,TE903,1
GE904,GE004,1
GE802,GE801,1
GE906,GE801,1
GE805,GE902,1
GE906,GE902,1
TE901,GE903,1
TE802,TE001,1
TE901,TE001,1
SI701,GE117,1
GE603,GE121,1
BRN01,HU111,1
GE604,HU112,1
SI501,SI111,1
SI205,SI114,1
TE802,GE901,1
SI205,SI302,1
GE603,TE121,1
TE503,TE122,1
TE602,TE125,1
TE604,TE701,1
HU102,HU113,1
GE902,SI025,1
GE802,GE126,1
TE501,TE124,1
TE903,TE126,1
GE701,GE124,1
GE906,GE118,1
GE906,GE708,1
GE906,GE119,1
TE603,SI112,1
TE603,SI154,1
TE702,TE804,1
TE804,TE129,1
TE702,TE114,1
SI150,SI822,1
SI601,SI822,1
GE701,TE116,1
GE802,TE115,1
