course_id,course_name,credits,cycle,subject_type_id,evaluation_system_id,total_weekly_hours,weekly_theory_hours,weekly_practice_hours,weekly_practice_laboratory_hours,weekly_laboratory_hours,max_cycle,min_cycle,note,required_credits,position
CB101,Geometría Analitica,3,1,1,,,,,,,,,"",,
CB121,Cálculo Diferencial,5,1,1,,,,,,,,,"",,
CB201,Quimica General-,4,1,1,,,,,,,,,"",,
HS101,Desarrollo personal,2,1,1,,,,,,,,,"",,
HS111,Técnicas de comunicación,3,1,1,,,,,,,,,"",,
ST101,Introduccion A La Ingenieria De Sistemas-,3,1,1,,,,,,,,,"",,
TP301,Dibujo De Ingenieria-,3,1,1,,,,,,,,,"",,
CB111,Algebra Lineal,3,2,1,,,,,,,,,"",,
CB131,Cálculo Integral,5,2,1,,,,,,,,,"",,
HS121,Metodología de la Investigación Científica,3,2,1,,,,,,,,,"",,
HS141,Filosofía y Etica,2,2,1,,,,,,,,,"",,
HS201,Constitución y Derechos Humanos,2,2,1,,,,,,,,,"",,
ST103,Teoria General De Sistemas-,3,2,1,,,,,,,,,"",,
ST221,Algoritmo y Estructura de Datos,3,2,1,,,,,,,,,"",,
CB112,Matemática Discreta,3,3,1,,,,,,,,,"",,
CB132,Cálculo Multivariable,5,3,1,,,,,,,,,"",,
CB302,Física I,5,3,1,,,,,,,,,"",,
CB402,Estadítica y Probabilidades,3,3,1,,,,,,,,,"",,
HS131,Sociología,2,3,1,,,,,,,,,"",,
ST202,Lenguajes De Programacion Estructurado-,3,3,1,,,,,,,,,"",,
CB122,Calculo Numerico-,3,4,1,,,,,,,,,"",,
CB142,Ecuaciones Diferenciales,5,4,1,,,,,,,,,"",,
CB312,Física II,5,4,1,,,,,,,,,"",,
CB412,Estadistica Aplicada-,3,4,1,,,,,,,,,"",,
GP202,Microeconomia,3,4,1,,,,,,,,,"",,
ST232,Lenguajes De Programacion Orientado A Objetos,3,4,1,,,,,,,,,"",,
CB143,Matematica Aplicada,3,5,1,,,,,,,,,"",,
CB313,Fisica Moderna,3,5,1,,,,,,,,,"",,
GP102,Organizacion Y Metodos,3,5,1,,,,,,,,,"",,
GP203,Macroeconomia,3,5,1,,,,,,,,,"",,
ST113,Investigacion De Operaciones I,3,5,1,7,,,,,,,,"",,
ST203,Modelamiento De Datos,3,5,1,,,,,,,,,"",,
TP113,Sistemas Electricos Y Electronicos,4,5,1,,,,,,,,,"",,
GP223,Contabilidad Financiera,3,6,1,,4,2,,2,,,,"",,
GP403,Sistemas Productivos,3,6,1,,,,,,,,,"",,
ST123,Investigacion De Operaciones Ii,3,6,1,,,,,,,,,"",,
ST133,Dinamica De Sistemas,3,6,1,,,,,,,,,"",,
ST150,ANALITICA DE DATOS,2,6,2,6,,,,,,,,"",,
ST213,Analisis Y Diseno De Sistemas,5,6,1,,,,,,,,,"",,
ST605,ARQUITECTURA EMPRESARIAL,1,6,1,3,,,,,,,,"",,
ST702,TALLER DE DINAMICA DE SISTEMAS,2,6,1,7,,,,,,,,"",,
TP123,Sistemas Digitales,3,6,1,,,,,,,,,"",,
GP122,Creatividad Empresarial,1,7,1,,,,,,,,,"",,
GP233,Contabilidad De Costos Y Presup.,3,7,1,,,,,,,,,"",,
ST124,Simulacion,3,7,1,,,,,,,,,"",,
ST204,Taller De Ingenieria De Software I,3,7,1,,,,,,,,,"",,
ST214,Administracion De Base De Datos,3,7,1,,,,,,,,,"",,
ST314,Arquitectura Del Computador,3,7,1,,,,,,,,,"",,
ST324,Sistemas Operativos,3,7,1,,,,,,,,,"",,
GP235,Gestion Financiera,3,8,1,,,,,,,,,"",,
GP304,Logistica Empresarial,3,8,1,,,,,,,,,"",,
GP314,Mercadotecnia,3,8,1,,,,,,,,,"",,
HS204,Legislacion Empresarial,2,8,1,,,,,,,,,"",,
ST334,Sistemas De Comunicacion De Datos,3,8,1,,,,,,,,,"",,
ST414,Inteligencia Artificial,3,8,1,,,,,,,,,"",,
GP515,Planeamiento Y Direccion Estrategica,3,9,1,,,,,,,,,"",,
GP525,Diseno Y Evaluacion De Proyectos,4,9,1,,,,,,,,,"",,
ST205,Topicos De Ingenieria De Sistemas,2,9,1,,,,,,,,,"",,
ST215,Seguridad Informatica,3,9,1,,,,,,,,,"",,
ST235,Proyecto De Tesis En Ing. Sistemas I,2,9,1,,,,,,,,,"",,
HS301,Idiomas I,2,10,1,,,,,,,,,"",,
